Date,Open,High,Low,Close,Volume
2023-08-15 04:00:00,178.88,179.48,177.05,177.45,43574863.0
2023-08-16 04:00:00,177.13,178.54,176.5,176.57,45712957.0
2023-08-17 04:00:00,177.14,177.5054,173.48,174.0,66054482.0
2023-08-18 04:00:00,172.3,175.1,171.96,174.49,60171878.0
2023-08-21 04:00:00,175.07,176.13,173.735,175.84,46161959.0
2023-08-22 04:00:00,177.06,177.68,176.25,177.23,42057245.0
2023-08-23 04:00:00,178.52,181.55,178.325,181.12,52722752.0
2023-08-24 04:00:00,180.674,181.104,176.01,176.38,54912798.0
2023-08-25 04:00:00,177.38,179.15,175.82,178.61,51439994.0
2023-08-28 04:00:00,180.09,180.59,178.545,180.19,43803238.0
2023-08-29 04:00:00,179.695,184.9,179.5,184.12,52953948.0
2023-08-30 04:00:00,184.94,187.85,184.74,187.65,60803988.0
2023-08-31 04:00:00,187.84,189.12,187.48,187.87,60794467.0
2023-09-01 04:00:00,189.485,189.92,188.28,189.46,45393903.0
2023-09-05 04:00:00,188.28,189.98,187.61,189.7,45280027.0
2023-09-06 04:00:00,188.4,188.85,181.47,182.91,81753366.0
2023-09-07 04:00:00,175.18,178.21,173.54,177.56,112416703.0
2023-09-08 04:00:00,178.35,180.239,177.79,178.18,65402066.0
2023-09-11 04:00:00,180.07,180.3,177.34,179.36,58953052.0
2023-09-12 04:00:00,179.49,180.13,174.82,176.3,90316192.0
2023-09-13 04:00:00,176.51,177.3,173.98,174.21,84267928.0
2023-09-14 04:00:00,174.0,176.1,173.58,175.74,60345757.0
2023-09-15 04:00:00,176.48,176.495,173.82,175.01,109259461.0
2023-09-18 04:00:00,176.48,179.38,176.17,177.97,67257573.0
2023-09-19 04:00:00,177.52,179.63,177.13,179.07,51826941.0
2023-09-20 04:00:00,179.26,179.695,175.4,175.49,58436181.0
2023-09-21 04:00:00,174.55,176.3,173.86,173.93,62449116.0
2023-09-22 04:00:00,174.67,177.079,174.05,174.79,56688985.0
2023-09-25 04:00:00,174.2,176.97,174.15,176.08,46172740.0
2023-09-26 04:00:00,174.82,175.2,171.66,171.96,64548945.0
2023-09-27 04:00:00,172.62,173.04,169.05,170.43,66920708.0
2023-09-28 04:00:00,169.34,172.03,167.62,170.69,56294419.0
2023-09-29 04:00:00,172.02,173.07,170.341,171.21,51861083.0
2023-10-02 04:00:00,171.22,174.3,170.93,173.75,52156935.0
2023-10-03 04:00:00,172.255,173.63,170.82,172.4,49594613.0
2023-10-04 04:00:00,171.09,174.21,170.97,173.66,53006286.0
2023-10-05 04:00:00,173.79,175.45,172.68,174.91,48527918.0
2023-10-06 04:00:00,173.8,177.99,173.18,177.49,57266675.0
2023-10-09 04:00:00,176.81,179.05,175.8,178.99,42344772.0
2023-10-10 04:00:00,178.1,179.72,177.95,178.39,43698019.0
2023-10-11 04:00:00,178.2,179.85,177.6,179.8,47544848.0
2023-10-12 04:00:00,180.07,182.34,179.04,180.71,56743119.0
2023-10-13 04:00:00,181.42,181.93,178.14,178.85,51412082.0
2023-10-16 04:00:00,176.75,179.075,176.51,178.72,52516984.0
2023-10-17 04:00:00,176.645,178.42,174.8,177.15,57549350.0
2023-10-18 04:00:00,175.58,177.575,175.11,175.84,54764375.0
2023-10-19 04:00:00,176.04,177.84,175.19,175.46,59192863.0
2023-10-20 04:00:00,175.31,175.42,172.64,172.88,64211828.0
2023-10-23 04:00:00,170.91,174.01,169.93,173.0,55980109.0
2023-10-24 04:00:00,173.05,173.67,171.45,173.44,43816644.0
2023-10-25 04:00:00,171.88,173.06,170.65,171.1,57156962.0
2023-10-26 04:00:00,170.37,171.3775,165.67,166.89,70625258.0
2023-10-27 04:00:00,166.91,168.96,166.83,168.22,58257129.0
2023-10-30 04:00:00,169.02,171.17,168.87,170.29,51130955.0
2023-10-31 04:00:00,169.35,170.9,167.9,170.77,44846017.0
2023-11-01 04:00:00,171.0,174.23,170.12,173.97,56934906.0
2023-11-02 04:00:00,175.52,177.78,175.46,177.57,77292052.0
2023-11-03 04:00:00,174.24,176.82,173.35,176.65,79829246.0
2023-11-06 05:00:00,176.38,179.43,176.21,179.23,63841310.0
2023-11-07 05:00:00,179.18,182.44,178.97,181.82,70529966.0
2023-11-08 05:00:00,182.35,183.45,181.59,182.89,49340282.0
2023-11-09 05:00:00,182.96,184.12,181.81,182.41,53631840.0
2023-11-10 05:00:00,183.97,186.565,183.53,186.4,66177922.0
2023-11-13 05:00:00,185.82,186.03,184.21,184.8,43627519.0
2023-11-14 05:00:00,187.7,188.11,186.3,187.44,60108378.0
2023-11-15 05:00:00,187.845,189.5,187.78,188.01,53608999.0
2023-11-16 05:00:00,189.57,190.96,188.65,189.71,54412915.0
2023-11-17 05:00:00,190.25,190.38,188.57,189.69,50737404.0
2023-11-20 05:00:00,189.89,191.905,189.88,191.45,46538614.0
2023-11-21 05:00:00,191.41,191.52,189.74,190.64,38134485.0
2023-11-22 05:00:00,191.49,192.93,190.825,191.31,39630011.0
2023-11-24 05:00:00,190.87,190.9,189.25,189.97,24018404.0
2023-11-27 05:00:00,189.92,190.67,188.9,189.79,40456609.0
2023-11-28 05:00:00,189.78,191.08,189.4,190.4,38415419.0
2023-11-29 05:00:00,190.9,192.09,188.97,189.37,43014224.0
2023-11-30 05:00:00,189.84,190.32,188.19,189.95,48744366.0
2023-12-01 05:00:00,190.33,191.56,189.23,191.24,45676673.0
2023-12-04 05:00:00,189.98,190.05,187.4511,189.43,43389519.0
2023-12-05 05:00:00,190.21,194.4,190.18,193.42,66628398.0
2023-12-06 05:00:00,194.45,194.76,192.11,192.32,41055862.0
2023-12-07 05:00:00,193.63,195.0,193.59,194.27,47413955.0
2023-12-08 05:00:00,194.2,195.99,193.67,195.71,53383658.0
2023-12-11 05:00:00,193.11,193.49,191.42,193.18,60943699.0
2023-12-12 05:00:00,193.08,194.72,191.721,194.71,52696900.0
2023-12-13 05:00:00,195.09,198.0,194.85,197.96,70404183.0
2023-12-14 05:00:00,198.02,199.62,196.16,198.11,66831572.0
2023-12-15 05:00:00,197.53,198.3999,197.0,197.57,127387901.0
2023-12-18 05:00:00,196.09,196.63,194.39,195.89,55751861.0
2023-12-19 05:00:00,196.16,196.95,195.89,196.94,40714051.0
2023-12-20 05:00:00,196.9,197.68,194.83,194.83,52242815.0
2023-12-21 05:00:00,196.1,197.08,193.5,194.68,46482549.0
2023-12-22 05:00:00,195.18,195.41,192.97,193.6,37149570.0
2023-12-26 05:00:00,193.61,193.89,192.83,193.05,28919310.0
2023-12-27 05:00:00,192.49,193.5,191.09,193.15,48087681.0
2023-12-28 05:00:00,194.14,194.66,193.17,193.58,34049898.0
2023-12-29 05:00:00,193.9,194.4,191.725,192.53,42672148.0
2024-01-02 05:00:00,187.15,188.44,183.885,185.64,81964874.0
2024-01-03 05:00:00,184.22,185.88,183.43,184.25,58414460.0
2024-01-04 05:00:00,182.15,183.0872,180.88,181.91,71878670.0
2024-01-05 05:00:00,181.99,182.76,180.17,181.18,62371161.0
2024-01-08 05:00:00,182.085,185.6,181.5,185.56,59144470.0
2024-01-09 05:00:00,183.92,185.15,182.73,185.14,42841809.0
2024-01-10 05:00:00,184.35,186.4,183.92,186.19,46192908.0
2024-01-11 05:00:00,186.54,187.05,183.62,185.59,49128408.0
2024-01-12 05:00:00,186.06,186.74,185.19,185.92,40477782.0
2024-01-16 05:00:00,182.16,184.26,180.934,183.63,65076641.0
2024-01-17 05:00:00,181.27,182.93,180.3,182.68,47317433.0
2024-01-18 05:00:00,186.09,189.14,185.83,188.63,77722754.0
2024-01-19 05:00:00,189.33,191.95,188.82,191.56,68887985.0
2024-01-22 05:00:00,192.3,195.33,192.26,193.89,60131852.0
2024-01-23 05:00:00,195.02,195.75,193.8299,195.18,42355590.0
2024-01-24 05:00:00,195.42,196.38,194.34,194.5,53631316.0
2024-01-25 05:00:00,195.22,196.2675,193.1125,194.17,54822126.0
2024-01-26 05:00:00,194.27,194.76,191.94,192.42,44587111.0
2024-01-29 05:00:00,192.01,192.2,189.58,191.73,47145622.0
2024-01-30 05:00:00,190.94,191.8,187.47,188.04,55836970.0
2024-01-31 05:00:00,187.04,187.095,184.35,184.4,55467803.0
2024-02-01 05:00:00,183.985,186.95,183.82,186.86,64885408.0
2024-02-02 05:00:00,179.86,187.33,179.25,185.85,102527680.0
2024-02-05 05:00:00,188.15,189.25,185.84,187.68,69654320.0
2024-02-06 05:00:00,186.86,189.31,186.7695,189.3,43490759.0
2024-02-07 05:00:00,190.64,191.05,188.61,189.41,53438955.0
2024-02-08 05:00:00,189.385,189.535,187.35,188.32,40962046.0
2024-02-09 05:00:00,188.65,189.99,188.0,188.85,45155216.0
2024-02-12 05:00:00,188.415,188.67,186.79,187.15,41781934.0
2024-02-13 05:00:00,185.77,186.21,183.5128,185.04,56529529.0
2024-02-14 05:00:00,185.32,185.53,182.44,184.15,54617917.0
2024-02-15 05:00:00,183.55,184.49,181.35,183.86,65434496.0
2024-02-16 05:00:00,183.42,184.85,181.665,182.31,49752465.0
2024-02-20 05:00:00,181.79,182.43,180.0,181.56,53574453.0
2024-02-21 05:00:00,181.94,182.8888,180.66,182.32,41496371.0
2024-02-22 05:00:00,183.48,184.955,182.46,184.37,52284192.0
2024-02-23 05:00:00,185.01,185.04,182.23,182.52,44926677.0
2024-02-26 05:00:00,182.24,182.76,180.65,181.16,40867421.0
2024-02-27 05:00:00,181.1,183.9225,179.56,182.63,54318851.0
2024-02-28 05:00:00,182.51,183.12,180.13,181.42,48943139.0
2024-02-29 05:00:00,181.27,182.57,179.53,180.75,136682597.0
2024-03-01 05:00:00,179.55,180.53,177.38,179.66,73450582.0
2024-03-04 05:00:00,176.15,176.9,173.79,175.1,81505451.0
2024-03-05 05:00:00,170.76,172.04,169.62,170.12,94702355.0
2024-03-06 05:00:00,171.06,171.24,168.68,169.12,68568907.0
2024-03-07 05:00:00,169.15,170.73,168.49,169.0,71763761.0
2024-03-08 05:00:00,169.0,173.7,168.94,170.73,76267041.0
2024-03-11 04:00:00,172.94,174.38,172.05,172.75,60139473.0
2024-03-12 04:00:00,173.15,174.03,171.01,173.23,59813522.0
2024-03-13 04:00:00,172.77,173.185,170.76,171.13,52488692.0
2024-03-14 04:00:00,172.91,174.3078,172.05,173.0,72913507.0
2024-03-15 04:00:00,171.17,172.62,170.285,172.62,121752699.0
2024-03-18 04:00:00,175.57,177.71,173.52,173.72,75604184.0
2024-03-19 04:00:00,174.34,176.605,173.03,176.08,55215244.0
2024-03-20 04:00:00,175.72,178.67,175.09,178.67,53423102.0
2024-03-21 04:00:00,177.05,177.49,170.84,171.37,106181270.0
2024-03-22 04:00:00,171.76,173.05,170.06,172.28,71146138.0
2024-03-25 04:00:00,170.565,171.94,169.45,170.85,54288328.0
2024-03-26 04:00:00,170.0,171.42,169.58,169.71,57388449.0
2024-03-27 04:00:00,170.41,173.6,170.11,173.31,60263665.0
2024-03-28 04:00:00,171.75,172.23,170.51,171.48,65671690.0
2024-04-01 04:00:00,171.19,171.25,169.475,170.03,46240500.0
2024-04-02 04:00:00,169.08,169.34,168.2302,168.84,49297581.0
2024-04-03 04:00:00,168.79,170.68,168.58,169.65,47691715.0
2024-04-04 04:00:00,170.29,171.92,168.82,168.82,53682486.0
2024-04-05 04:00:00,169.59,170.39,168.95,169.58,42104826.0
2024-04-08 04:00:00,169.03,169.2,168.24,168.45,37425513.0
2024-04-09 04:00:00,168.7,170.08,168.35,169.67,42451209.0
2024-04-10 04:00:00,168.8,169.09,167.11,167.78,49691936.0
2024-04-11 04:00:00,168.34,175.46,168.16,175.04,91053075.0
2024-04-12 04:00:00,174.26,178.36,174.21,176.55,101282386.0
2024-04-15 04:00:00,175.36,176.63,172.5,172.69,73498773.0
2024-04-16 04:00:00,171.75,173.76,168.27,169.38,73665235.0
2024-04-17 04:00:00,169.61,170.65,168.0,168.0,50351210.0
2024-04-18 04:00:00,168.03,168.64,166.55,167.04,43103753.0
2024-04-19 04:00:00,166.21,166.4,164.075,165.0,68149377.0
2024-04-22 04:00:00,165.515,167.26,164.77,165.84,48071343.0
2024-04-23 04:00:00,165.35,167.05,164.92,166.9,49537761.0
2024-04-24 04:00:00,166.54,169.3,166.21,169.02,48251835.0
2024-04-25 04:00:00,169.525,170.61,168.1511,169.89,50558329.0
2024-04-26 04:00:00,169.88,171.34,169.18,169.3,44812854.0
2024-04-29 04:00:00,173.37,176.03,173.1,173.5,68149919.0
2024-04-30 04:00:00,173.33,174.99,170.0,170.33,65824776.0
2024-05-01 04:00:00,169.58,172.705,169.11,169.3,49387185.0
2024-05-02 04:00:00,172.51,173.415,170.89,173.03,94211515.0
2024-05-03 04:00:00,186.645,187.0,182.66,183.38,163224109.0
2024-05-06 04:00:00,182.354,184.2,180.42,181.71,78319667.0
2024-05-07 04:00:00,183.45,184.9,181.32,182.4,77298571.0
2024-05-08 04:00:00,182.85,183.07,181.45,182.74,45057087.0
2024-05-09 04:00:00,182.56,184.66,182.11,184.57,48948972.0
2024-05-10 04:00:00,184.9,185.09,182.13,183.05,50745096.0
2024-05-13 04:00:00,185.435,187.1,184.62,186.28,71969409.0
2024-05-14 04:00:00,187.51,188.3,186.29,187.43,52393619.0
2024-05-15 04:00:00,187.91,190.65,187.37,189.72,70381988.0
2024-05-16 04:00:00,190.47,191.095,189.6601,189.84,52845230.0
2024-05-17 04:00:00,189.51,190.81,189.18,189.87,41282925.0
2024-05-20 04:00:00,189.325,191.9199,189.01,191.04,44361275.0
2024-05-21 04:00:00,191.09,192.73,190.9201,192.35,42309401.0
2024-05-22 04:00:00,192.265,192.8231,190.27,190.9,34648547.0
2024-05-23 04:00:00,190.98,191.0,186.625,186.88,51005924.0
2024-05-24 04:00:00,188.82,190.58,188.0404,189.98,36326975.0
2024-05-28 04:00:00,191.51,193.0,189.1,189.99,52230051.0
2024-05-29 04:00:00,189.61,192.247,189.51,190.29,53068016.0
2024-05-30 04:00:00,190.76,192.18,190.63,191.29,49947941.0
2024-05-31 04:00:00,191.44,192.57,189.91,192.25,75158277.0
2024-06-03 04:00:00,192.9,194.99,192.52,194.03,50078439.0
2024-06-04 04:00:00,194.635,195.32,193.0342,194.35,47471445.0
2024-06-05 04:00:00,195.4,196.9,194.87,195.87,54156785.0
2024-06-06 04:00:00,195.685,196.5,194.17,194.48,41162753.0
2024-06-07 04:00:00,194.65,196.94,194.14,196.89,53085712.0
2024-06-10 04:00:00,196.9,197.3,192.15,193.12,97262077.0
2024-06-11 04:00:00,193.65,207.16,193.63,207.15,172116296.0
2024-06-12 04:00:00,207.37,220.2,206.9,213.07,198109293.0
2024-06-13 04:00:00,214.74,216.75,211.6,214.24,97750229.0
2024-06-14 04:00:00,213.85,215.17,211.3,212.49,70108898.0
2024-06-17 04:00:00,213.37,218.95,212.72,216.67,93689100.0
2024-06-18 04:00:00,217.59,218.63,213.0,214.29,79943254.0
2024-06-20 04:00:00,213.93,214.24,208.85,209.68,86095783.0
2024-06-21 04:00:00,210.39,211.89,207.11,207.49,246421353.0
2024-06-24 04:00:00,207.72,212.7,206.59,208.14,80721906.0
2024-06-25 04:00:00,209.15,211.38,208.61,209.07,56280868.0
2024-06-26 04:00:00,211.5,214.86,210.64,213.25,66213186.0
2024-06-27 04:00:00,214.69,215.7395,212.35,214.1,49772707.0
2024-06-28 04:00:00,215.77,216.07,210.3,210.62,82538718.0
2024-07-01 04:00:00,212.09,217.51,211.92,216.75,60402929.0
2024-07-02 04:00:00,216.15,220.38,215.1,220.27,58046178.0
2024-07-03 04:00:00,220.0,221.55,219.03,221.55,37269801.0
2024-07-05 04:00:00,221.65,226.45,221.65,226.34,59517108.0
2024-07-08 04:00:00,227.09,227.85,223.25,227.82,59085861.0
2024-07-09 04:00:00,227.93,229.4,226.3721,228.68,48013382.0
2024-07-10 04:00:00,229.3,233.08,229.25,232.98,62627687.0
2024-07-11 04:00:00,231.39,232.39,225.77,227.57,64456867.0
2024-07-12 04:00:00,228.92,232.64,228.68,230.54,53046527.0
2024-07-15 04:00:00,236.48,237.23,233.09,234.4,62623152.0
2024-07-16 04:00:00,235.0,236.27,232.33,234.82,41184278.0
2024-07-17 04:00:00,229.45,231.4599,226.64,228.88,57345884.0
2024-07-18 04:00:00,230.28,230.44,222.27,224.18,66034585.0
2024-07-19 04:00:00,224.82,226.8,223.275,224.31,49151453.0
2024-07-22 04:00:00,227.01,227.78,223.09,223.96,48201835.0
2024-07-23 04:00:00,224.365,226.94,222.68,225.01,39960260.0
2024-07-24 04:00:00,224.0,224.8,217.13,218.54,61777576.0
2024-07-25 04:00:00,218.93,220.85,214.62,217.49,51391199.0
2024-07-26 04:00:00,218.7,219.49,216.01,217.96,41599345.0
2024-07-29 04:00:00,216.96,219.3,215.75,218.24,36284528.0
2024-07-30 04:00:00,219.19,220.325,216.12,218.8,41493840.0
2024-07-31 04:00:00,221.44,223.82,220.63,222.08,50036262.0
2024-08-01 04:00:00,224.37,224.48,217.02,218.36,62477496.0
2024-08-02 04:00:00,219.15,225.6,217.71,219.86,105568560.0
2024-08-05 04:00:00,199.09,213.5,196.0,209.27,119517900.0
2024-08-06 04:00:00,205.3,209.99,201.07,207.23,69579488.0
2024-08-07 04:00:00,206.9,213.64,206.39,209.82,63516417.0
2024-08-08 04:00:00,213.11,214.2,208.83,213.31,46801649.0
2024-08-09 04:00:00,212.1,216.78,211.97,216.24,42201646.0
2024-08-12 04:00:00,216.07,219.5099,215.6,217.53,38028092.0
2024-08-13 04:00:00,219.01,221.89,219.01,221.27,44155331.0
2024-08-14 04:00:00,220.57,223.03,219.7,221.72,41948574.0
2024-08-15 04:00:00,224.6,225.35,222.76,224.72,46398713.0
2024-08-16 04:00:00,223.92,226.8271,223.6501,226.05,44338440.0
2024-08-19 04:00:00,225.72,225.99,223.04,225.89,40687813.0
2024-08-20 04:00:00,225.77,227.17,225.45,226.51,30299033.0
2024-08-21 04:00:00,226.52,227.98,225.05,226.4,34765480.0
2024-08-22 04:00:00,227.79,228.34,223.9,224.53,43673321.0
2024-08-23 04:00:00,225.6589,228.22,224.33,226.84,38647250.0
2024-08-26 04:00:00,226.76,227.28,223.8905,227.18,30599408.0
2024-08-27 04:00:00,225.995,228.85,224.89,228.03,35934559.0
2024-08-28 04:00:00,227.92,229.86,225.68,226.49,37737167.0
2024-08-29 04:00:00,230.1,232.92,228.88,229.79,51906297.0
2024-08-30 04:00:00,230.19,230.4,227.48,229.0,52988670.0
2024-09-03 04:00:00,228.55,229.0,221.17,222.77,50175516.0
2024-09-04 04:00:00,221.66,221.78,217.48,220.85,43840196.0
2024-09-05 04:00:00,221.625,225.48,221.52,222.38,36615398.0
2024-09-06 04:00:00,223.95,225.24,219.77,220.82,48423011.0
2024-09-09 04:00:00,220.82,221.27,216.71,220.91,67179965.0
2024-09-10 04:00:00,218.92,221.48,216.73,220.11,51591033.0
2024-09-11 04:00:00,221.455,223.09,217.89,222.66,44587072.0
2024-09-12 04:00:00,222.5,223.55,219.82,222.77,37497490.0
2024-09-13 04:00:00,223.58,224.04,221.91,222.5,36766619.0
2024-09-16 04:00:00,216.54,217.22,213.92,216.32,59357427.0
2024-09-17 04:00:00,215.75,216.9,214.5,216.79,45519339.0
2024-09-18 04:00:00,217.55,222.71,217.54,220.69,59894928.0
2024-09-19 04:00:00,224.99,229.82,224.63,228.87,66781315.0
2024-09-20 04:00:00,229.97,233.09,227.62,228.2,317079888.0
2024-09-23 04:00:00,227.34,229.45,225.81,226.47,54090023.0
2024-09-24 04:00:00,228.645,229.35,225.73,227.37,43556068.0
2024-09-25 04:00:00,224.93,227.29,224.02,226.37,42308715.0
2024-09-26 04:00:00,227.3,228.5,225.41,227.52,36635707.0
2024-09-27 04:00:00,228.46,229.52,227.3,227.79,34003467.0
2024-09-30 04:00:00,230.04,233.0,229.65,233.0,54793391.0
2024-10-01 04:00:00,229.52,229.65,223.74,226.21,63235048.0
2024-10-02 04:00:00,225.89,227.37,223.02,226.78,32880605.0
2024-10-03 04:00:00,225.14,226.805,223.32,225.67,34044158.0
2024-10-04 04:00:00,227.9,228.0,224.13,226.8,37345098.0
2024-10-07 04:00:00,224.5,225.69,221.33,221.69,39505354.0
2024-10-08 04:00:00,224.3,225.98,223.25,225.77,31855693.0
2024-10-09 04:00:00,225.23,229.75,224.83,229.54,33591091.0
2024-10-10 04:00:00,227.78,229.5,227.17,229.04,28183544.0
2024-10-11 04:00:00,229.3,229.41,227.34,227.55,31759188.0
2024-10-14 04:00:00,228.7,231.73,228.6,231.3,39882085.0
2024-10-15 04:00:00,233.61,237.49,232.37,233.85,64748367.0
2024-10-16 04:00:00,231.6,232.12,229.84,231.78,34082240.0
2024-10-17 04:00:00,233.43,233.85,230.52,232.15,32974310.0
2024-10-18 04:00:00,236.18,236.18,234.01,235.0,45831472.0
2024-10-21 04:00:00,234.45,236.85,234.45,236.48,36254470.0
2024-10-22 04:00:00,233.885,236.22,232.6,235.86,38846578.0
2024-10-23 04:00:00,234.08,235.144,227.76,230.76,52286979.0
2024-10-24 04:00:00,229.98,230.82,228.41,230.57,31109503.0
2024-10-25 04:00:00,229.74,233.22,229.57,231.41,38602304.0
2024-10-28 04:00:00,233.32,234.73,232.55,233.4,36087134.0
2024-10-29 04:00:00,233.1,234.325,232.32,233.67,35413047.0
2024-10-30 04:00:00,232.61,233.47,229.55,230.1,47060257.0
2024-10-31 04:00:00,229.34,229.83,225.37,225.91,64370086.0
2024-11-01 04:00:00,220.965,225.35,220.27,222.91,65276741.0
2024-11-04 05:00:00,220.99,222.79,219.71,222.01,44344468.0
2024-11-05 05:00:00,221.795,223.95,221.14,223.45,28111338.0
2024-11-06 05:00:00,222.61,226.065,221.19,222.72,54561121.0
2024-11-07 05:00:00,224.625,227.875,224.57,227.48,42137691.0
2024-11-08 05:00:00,227.17,228.66,226.405,226.96,38328824.0
2024-11-11 05:00:00,225.0,225.7,221.5,224.23,42005602.0
2024-11-12 05:00:00,224.55,225.59,223.355,224.23,40398299.0
2024-11-13 05:00:00,224.01,226.65,222.76,225.12,48566217.0
2024-11-14 05:00:00,225.02,228.87,225.0,228.22,44923941.0
2024-11-15 05:00:00,226.4,226.92,224.27,225.0,47923696.0
2024-11-18 05:00:00,225.25,229.74,225.17,228.02,44686020.0
2024-11-19 05:00:00,226.98,230.16,226.66,228.28,36211774.0
2024-11-20 05:00:00,228.06,229.93,225.89,229.0,35075316.0
2024-11-21 05:00:00,228.88,230.155,225.7103,228.52,42108327.0
2024-11-22 05:00:00,228.06,230.7199,228.06,229.87,38168252.0
2024-11-25 05:00:00,231.46,233.245,229.74,232.87,90002832.0
2024-11-26 05:00:00,233.33,235.57,233.33,235.06,45986189.0
2024-11-27 05:00:00,234.465,235.69,233.8101,234.93,33498439.0
2024-11-29 05:00:00,234.805,237.81,233.97,237.33,28481377.0
2024-12-02 05:00:00,237.27,240.79,237.16,239.59,48137103.0
2024-12-03 05:00:00,239.81,242.76,238.9,242.65,38861017.0
2024-12-04 05:00:00,242.87,244.11,241.25,243.01,44383935.0
2024-12-05 05:00:00,243.99,244.54,242.13,243.04,40033878.0
2024-12-06 05:00:00,242.905,244.63,242.08,242.84,36870619.0
2024-12-09 05:00:00,241.83,247.24,241.75,246.75,44649232.0
2024-12-10 05:00:00,246.89,248.21,245.34,247.77,36914806.0
2024-12-11 05:00:00,247.96,250.8,246.2601,246.49,45205814.0
2024-12-12 05:00:00,246.89,248.74,245.68,247.96,32777532.0
2024-12-13 05:00:00,247.815,249.2902,246.24,248.13,33081590.0
2024-12-16 05:00:00,247.99,251.38,247.65,251.04,51694753.0
2024-12-17 05:00:00,250.08,253.83,249.78,253.48,51356360.0
2024-12-18 05:00:00,252.16,254.28,247.74,248.05,56764701.0
2024-12-19 05:00:00,247.5,252.0,247.0949,249.79,60559114.0
2024-12-20 05:00:00,248.04,255.0,245.69,254.49,147495267.0
2024-12-23 05:00:00,254.77,255.65,253.45,255.27,40858774.0
2024-12-24 05:00:00,255.49,258.21,255.29,258.2,23234705.0
